source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_rp_excess_factor,gcns_prob,dist_50
114957724551292032,13.617517,14.757255,12.556811,1.3719833,1.0,0.07275501
115076093850220672,14.502847,16.088459,13.284527,1.4611794,1.0,0.07049033
115007679314929152,18.279818,20.758013,16.872335,1.6128724,1.0,0.09699633
115035441983398400,12.141123,12.929526,11.189503,1.3620919,1.0,0.079979464
115068740866249728,12.530272,13.771395,11.4284,1.392559,1.0,0.042432316
115069114526993408,12.42591,13.647924,11.331951,1.3882315,1.0,0.04242925
111977223406868864,14.057302,15.4233465,12.903982,1.423786,1.0,0.07806637
112015289700878848,16.554123,18.492556,15.247902,1.5234904,1.0,0.07673562
112022887497553024,13.623102,15.040389,12.452172,1.4341958,1.0,0.0493625
112385691978711680,17.165356,19.402306,15.815067,1.5523157,1.0,0.06359958
112386241734515840,9.754945,10.091383,9.247911,1.2034465,1.0,0.095440224
115409280235239296,17.925972,18.361956,17.337343,1.209247,1.0,0.046488553
112402940567232896,14.435533,16.246408,13.16316,1.4956254,1.0,0.029203182
115411444898752768,16.18973,18.02427,14.910733,1.500992,1.0,0.06901891
111731654357442816,13.288551,15.08577,12.013405,1.5008336,1.0,0.025762487
112117342421354880,17.466045,19.572334,16.08213,1.6100577,1.0,0.07632691
112123041840191616,7.7107105,7.9075694,7.3570294,1.1879803,1.0,0.09303519
112327142984566272,8.156865,8.426725,7.719562,1.1953208,1.0,0.06610487
112326868106660224,14.135624,15.684415,12.926969,1.4555289,1.0,0.06587583
112322848017251712,8.031354,8.379376,7.5100245,1.2067002,1.0,0.07657741
112157612034669440,12.915395,14.469612,11.707407,1.4538738,1.0,0.021938212
112069444946150912,15.879042,17.860647,14.565708,1.5279619,1.0,0.048106693
112071948909279872,12.467742,13.697729,11.370108,1.3904191,1.0,0.036691684
112073327594186624,19.195854,21.59016,17.74434,1.6825081,1.0,0.10878759
111318719022066944,16.62692,18.74106,15.28853,1.5474715,1.0,0.0583309
3376225417170065536,18.561789,19.710642,16.78077,2.4225209,0.968,0.079244696
111411696473373696,13.494202,14.869114,12.340084,1.4230039,1.0,0.068857156
112182419764749440,13.884824,14.947515,12.861916,1.3523943,1.0,0.094912924
112258354786447232,15.308069,16.799242,14.124888,1.4353069,1.0,0.06496042
112391773652356352,16.477804,18.211807,15.228782,1.4767523,1.0,0.098378934
112372424821523712,15.260196,16.62397,14.107191,1.4238626,0.486,0.071197696
112425514915371648,12.970902,14.013032,11.957264,1.3484249,1.0,0.081213474
112440873718983680,7.904065,8.160446,7.470908,1.199986,1.0,0.038657885
112543884212381184,16.880846,18.764267,15.58884,1.5115798,1.0,0.09721522
112544124730712704,15.086123,16.51383,13.920826,1.4259148,1.0,0.09791845
112544124730712832,15.519747,17.016018,14.329028,1.4431671,1.0,0.09741327
112306866441478400,17.989859,19.819984,16.555738,1.7115074,1.0,0.09278051
112306870736953856,13.678791,14.777836,12.636339,1.3630362,1.0,0.09649675
112555669600989184,19.204805,21.218498,17.741304,1.7338611,1.0,0.1045888
112571200204413824,17.23203,19.390997,15.87872,1.5632674,1.0,0.07092208
118556323029938176,10.272159,10.666381,9.713198,1.2087693,1.0,0.09660974
115076231289173888,11.025105,11.566844,10.332125,1.237227,1.0,0.080338076
115082759639498112,14.726584,16.225647,13.535831,1.4427379,1.0,0.06525468
115302421446877184,5.896229,5.9498477,5.769623,1.1632679,1.0,0.068213366
115311458058061440,6.4558463,6.7972026,5.9398403,1.2066143,1.0,0.021194903
115687903353944064,15.648,17.86105,14.284657,1.5720336,1.0,0.033741813
115500230459290880,14.941855,15.603133,13.048579,2.8016746,0.984,0.09100665
70974545020346240,20.046034,21.178398,18.476181,2.042695,1.0,0.09650467
115500230462449664,14.993105,15.606926,13.056111,2.9182043,0.648,0.08340043
115478377668969856,10.669933,11.1567,10.00191,1.2419848,1.0,0.09319927
115522426853468928,17.167246,18.97872,15.882981,1.5105157,1.0,0.09851377
115698554872809216,17.126131,19.759018,15.673761,1.6680007,1.0,0.056271717
115832557851337984,14.379194,15.894251,13.192922,1.4348809,1.0,0.082706824
115540809313475072,15.346268,17.204948,14.059927,1.507327,1.0,0.04422789
115635298592646656,18.155766,20.768105,16.681028,1.7026114,1.0,0.09021254
115622997806311168,12.130842,13.159152,11.098397,1.3706893,0.998,0.06691109
115827678768572928,15.912569,17.487207,14.697676,1.4588153,1.0,0.10046008
116534218069512704,13.082134,14.404113,11.946088,1.413102,1.0,0.040242974
115786893759970944,13.335354,14.552757,12.237866,1.3929871,1.0,0.06797498
115794727780443520,14.536601,15.869843,13.393466,1.4187381,1.0,0.09705375
115813041520837888,17.480103,19.466223,16.133263,1.5717009,1.0,0.09670339
116682308540804224,6.306081,6.4504232,6.0263247,1.1795858,1.0,0.052550007
115906156410888576,14.715067,16.12898,13.542155,1.437069,1.0,0.099020325
115851902384016128,15.262728,17.46617,13.831286,1.668516,1.0,0.032957625
115881069504765184,20.23309,20.814014,19.37512,1.3524,0.996,0.10878725
115894989495961856,17.040953,19.117153,15.703088,1.5504532,1.0,0.074079715
115959001688439040,14.733451,16.222813,13.543589,1.4433403,1.0,0.05578369
121967867092797696,16.551685,18.552841,15.238076,1.5262332,1.0,0.054143447
