GaiaEDR3,Gmag,BPmag,WDprob,Dist50,Abs_V,BV_Color
2.57927E+18,18.7462,19.2855,0.987,0.05677,14.97560553,0.5393
2.53374E+18,19.7808,20.3394,0.962,0.07632,15.36760819,0.5586
4.68603E+18,16.8611,16.9162,1,0.08486,12.21758486,0.0551
5.04127E+18,20.2666,20.8449,1,0.11246,15.0116096,0.5783
5.01349E+18,18.2152,18.4667,0.996,0.06633,14.10665001,0.2515
2.57928E+18,18.6658,18.898,0.999,0.07866,14.18703029,0.2322
2.48247E+18,19.6786,20.1326,0.999,0.10293,14.61589014,0.454
2.78564E+18,20.6062,20.7142,0.608,0.11437,15.31463939,0.108
2.96499E+17,19.9045,20.2625,0.984,0.10831,14.73115722,0.358
3.20029E+17,16.6117,16.7732,1,0.03879,13.6681011,0.1615
4.93531E+18,19.0182,19.3986,0.999,0.07605,14.61270391,0.3804
4.69251E+18,19.8538,20.3226,0.999,0.09099,15.05883167,0.4688
2.58984E+18,18.6006,18.8234,0.999,0.08498,13.95401637,0.2228
3.08772E+17,20.4508,20.7758,0.603,0.11032,15.23752873,0.325
2.56352E+18,17.9063,17.9766,0.999,0.0795,13.40446436,0.0703
3.08651E+17,18.9155,19.465,0.999,0.06299,14.91914196,0.5495
3.16774E+17,18.8288,19.0954,0.999,0.07383,14.48763566,0.2666
2.45543E+18,19.8008,20.1084,0.999,0.11018,14.59028616,0.3076
2.93639E+17,18.2587,18.5419,0.967,0.07568,13.86379438,0.2832
5.01596E+18,20.601,20.6616,0.95,0.10547,15.48535527,0.0606
5.02933E+18,20.0708,20.6364,0.999,0.10324,15.00156002,0.5656
2.89855E+17,20.0498,20.5074,0.993,0.11118,14.81966665,0.4576
2.59048E+18,19.8659,20.3423,0.999,0.09998,14.86633434,0.4764
5.04322E+18,19.8039,20.1826,0.999,0.07783,15.34816485,0.3787
2.45633E+18,18.4738,18.7249,0.999,0.07711,14.03824648,0.2511
5.02847E+18,19.1248,19.359,0.999,0.09802,14.16822651,0.2342
4.90912E+18,16.365,16.4494,1,0.04547,13.07637523,0.0844
5.02847E+18,20.383,20.8582,0.994,0.10664,15.24339932,0.4752
5.03625E+18,19.7239,20.3895,0.993,0.0836,15.11286861,0.6656
4.10003E+17,17.4539,17.5176,1,0.0742,13.10188047,0.0637
2.48254E+18,18.9693,19.7463,0.938,0.06707,14.83665847,0.777
2.9362E+17,19.4112,19.6066,0.991,0.10616,14.28139545,0.1954
4.10467E+17,20.6157,21.1242,0.885,0.11176,15.37426803,0.5085
2.48239E+18,19.5517,19.7378,0.946,0.10005,14.55061454,0.1861
2.48521E+18,17.3143,17.641,0.975,0.04338,14.12785226,0.3267
5.04141E+18,19.4337,19.8214,0.998,0.10352,14.35857868,0.3877
3.9826E+17,19.2795,19.6542,0.999,0.1008,14.26219734,0.3747
